"","AGE","SEX","YEAR"
"1",23,2,1972
"2",70,1,1972
"3",48,2,1972
"4",27,2,1972
"5",61,2,1972
"6",26,1,1972
"7",28,1,1972
"8",27,1,1972
"9",21,2,1972
"10",30,2,1972
"11",30,2,1972
"12",56,1,1972
"13",54,1,1972
"14",49,2,1972
"15",41,1,1972
"16",54,1,1972
"17",24,1,1972
"18",62,2,1972
"19",46,2,1972
"20",21,2,1972
"21",57,1,1972
"22",58,1,1972
"23",21,1,1972
"24",26,2,1972
"25",71,2,1972
"26",53,2,1972
"27",42,1,1972
"28",42,2,1972
"29",20,1,1972
"30",23,1,1972
"31",26,1,1972
"32",25,2,1972
"33",26,1,1972
"34",78,2,1972
"35",21,1,1972
"36",27,1,1972
"37",58,2,1972
"38",35,2,1972
"39",58,1,1972
"40",51,2,1972
"41",76,2,1972
"42",53,1,1972
"43",39,1,1972
"44",64,2,1972
"45",50,2,1972
"46",27,2,1972
"47",25,1,1972
"48",49,1,1972
"49",40,1,1972
"50",43,1,1972
"51",46,1,1972
"52",37,1,1972
"53",46,1,1972
"54",22,2,1972
"55",53,2,1972
"56",35,1,1972
"57",31,2,1972
"58",30,2,1972
"59",37,2,1972
"60",57,2,1972
"61",39,1,1972
"62",62,2,1972
"63",51,1,1972
"64",43,1,1972
"65",39,1,1972
"66",52,2,1972
"67",30,1,1972
"68",47,2,1972
"69",31,2,1972
"70",25,1,1972
"71",45,1,1972
"72",30,2,1972
"73",68,1,1972
"74",63,2,1972
"75",19,1,1972
"76",23,1,1972
"77",46,2,1972
"78",55,2,1972
"79",22,1,1972
"80",55,2,1972
"81",44,1,1972
"82",41,2,1972
"83",49,1,1972
"84",28,2,1972
"85",21,1,1972
"86",26,1,1972
"87",31,2,1972
"88",28,2,1972
"89",26,1,1972
"90",20,2,1972
"91",25,1,1972
"92",57,2,1972
"93",58,2,1972
"94",54,1,1972
"95",35,2,1972
"96",40,1,1972
"97",57,1,1972
"98",64,2,1972
"99",34,1,1972
"100",25,2,1972
"101",28,1,1972
"102",41,1,1972
"103",36,2,1972
"104",31,1,1972
"105",45,1,1972
"106",74,2,1972
"107",64,2,1972
"108",23,2,1972
"109",27,2,1972
"110",42,1,1972
"111",47,1,1972
"112",26,1,1972
"113",34,2,1972
"114",52,1,1972
"115",24,1,1972
"116",36,2,1972
"117",25,1,1972
"118",46,2,1972
"119",54,2,1972
"120",27,2,1972
"121",20,2,1972
"122",53,1,1972
"123",47,1,1972
"124",70,1,1972
"125",69,2,1972
"126",49,2,1972
"127",29,2,1972
"128",48,2,1972
"129",67,2,1972
"130",22,1,1972
"131",75,1,1972
"132",38,1,1972
"133",46,1,1972
"134",63,2,1972
"135",34,2,1972
"136",57,1,1972
"137",22,2,1972
"138",46,1,1972
"139",73,2,1972
"140",73,1,1972
"141",53,1,1972
"142",84,2,1972
"143",27,1,1972
"144",69,2,1972
"145",82,2,1972
"146",67,2,1972
"147",41,1,1972
"148",72,1,1972
"149",38,1,1972
"150",59,2,1972
"151",42,1,1972
"152",48,1,1972
"153",59,2,1972
"154",39,2,1972
"155",49,2,1972
"156",33,2,1972
"157",53,2,1972
"158",30,2,1972
"159",25,1,1972
"160",36,2,1972
"161",30,1,1972
"162",28,1,1972
"163",52,1,1972
"164",44,1,1972
"165",50,1,1972
"166",38,2,1972
"167",26,1,1972
"168",28,2,1972
"169",81,2,1972
"170",55,2,1972
"171",76,1,1972
"172",29,1,1972
"173",19,1,1972
"174",76,2,1972
"175",61,1,1972
"176",26,1,1972
"177",39,2,1972
"178",19,1,1972
"179",26,2,1972
"180",21,2,1972
"181",45,2,1972
"182",27,2,1972
"183",76,1,1972
"184",63,2,1972
"185",52,1,1972
"186",65,1,1972
"187",59,1,1972
"188",26,1,1972
"189",41,2,1972
"190",56,1,1972
"191",62,1,1972
"192",29,1,1972
"193",25,2,1972
"194",41,2,1972
"195",21,2,1972
"196",49,2,1972
"197",38,1,1972
