"","Question","Response","Frequency","Percent"
"1","Scale 1",1,2,0.956937799043062
"2","Scale 1",2,2,0.956937799043062
"3","Scale 1",3,12,5.74162679425837
"4","Scale 1",4,30,14.3540669856459
"5","Scale 1",5,84,40.1913875598086
"6","Scale 1",6,79,37.799043062201
"7","Scale 2",1,1,0.478468899521531
"8","Scale 2",2,3,1.43540669856459
"9","Scale 2",3,10,4.78468899521531
"10","Scale 2",4,32,15.311004784689
"11","Scale 2",5,82,39.2344497607655
"12","Scale 2",6,81,38.755980861244
"13","Scale 3",1,3,1.43540669856459
"14","Scale 3",2,1,0.478468899521531
"15","Scale 3",3,17,8.13397129186603
"16","Scale 3",4,45,21.5311004784689
"17","Scale 3",5,87,41.6267942583732
"18","Scale 3",6,56,26.7942583732057
"19","Scale 4",1,4,1.91387559808612
"20","Scale 4",2,5,2.39234449760766
"21","Scale 4",3,18,8.61244019138756
"22","Scale 4",4,50,23.9234449760766
"23","Scale 4",5,78,37.3205741626794
"24","Scale 4",6,54,25.8373205741627
"25","Scale 5",1,3,1.43540669856459
"26","Scale 5",2,11,5.26315789473684
"27","Scale 5",3,26,12.4401913875598
"28","Scale 5",4,49,23.444976076555
"29","Scale 5",5,70,33.4928229665072
"30","Scale 5",6,50,23.9234449760766
"31","Scale 6",2,2,0.956937799043062
"32","Scale 6",3,7,3.34928229665072
"33","Scale 6",4,22,10.5263157894737
"34","Scale 6",5,91,43.5406698564593
"35","Scale 6",6,87,41.6267942583732
"36","Scale 7",1,1,0.478468899521531
"37","Scale 7",2,3,1.43540669856459
"38","Scale 7",3,7,3.34928229665072
"39","Scale 7",4,32,15.311004784689
"40","Scale 7",5,83,39.7129186602871
"41","Scale 7",6,83,39.7129186602871
"42","Scale 8",1,2,0.956937799043062
"43","Scale 8",2,3,1.43540669856459
"44","Scale 8",3,9,4.30622009569378
"45","Scale 8",4,33,15.7894736842105
"46","Scale 8",5,91,43.5406698564593
"47","Scale 8",6,71,33.9712918660287
"48","Scale 9",2,1,0.478468899521531
"49","Scale 9",3,6,2.87081339712919
"50","Scale 9",4,29,13.8755980861244
"51","Scale 9",5,70,33.4928229665072
"52","Scale 9",6,103,49.2822966507177
