"","Question","Response","Frequency","Percent"
"1","Scale 1",1,5,2.39234449760766
"2","Scale 1",2,5,2.39234449760766
"3","Scale 1",3,12,5.74162679425837
"4","Scale 1",4,19,9.09090909090909
"5","Scale 1",5,37,17.7033492822967
"6","Scale 1",6,38,18.1818181818182
"7","Scale 1",7,21,10.0478468899522
"8","Scale 1",NA,72,34.4497607655502
"9","Scale 2",1,4,1.91387559808612
"10","Scale 2",2,10,4.78468899521531
"11","Scale 2",3,14,6.69856459330144
"12","Scale 2",4,16,7.6555023923445
"13","Scale 2",5,39,18.6602870813397
"14","Scale 2",6,35,16.7464114832536
"15","Scale 2",7,19,9.09090909090909
"16","Scale 2",NA,72,34.4497607655502
"17","Scale 3",1,5,2.39234449760766
"18","Scale 3",2,12,5.74162679425837
"19","Scale 3",3,16,7.6555023923445
"20","Scale 3",4,24,11.4832535885167
"21","Scale 3",5,31,14.8325358851675
"22","Scale 3",6,30,14.3540669856459
"23","Scale 3",7,19,9.09090909090909
"24","Scale 3",NA,72,34.4497607655502
"25","Scale 4",1,3,1.43540669856459
"26","Scale 4",2,9,4.30622009569378
"27","Scale 4",3,11,5.26315789473684
"28","Scale 4",4,26,12.4401913875598
"29","Scale 4",5,38,18.1818181818182
"30","Scale 4",6,28,13.3971291866029
"31","Scale 4",7,22,10.5263157894737
"32","Scale 4",NA,72,34.4497607655502
"33","Scale 5",1,3,1.43540669856459
"34","Scale 5",2,4,1.91387559808612
"35","Scale 5",3,17,8.13397129186603
"36","Scale 5",4,15,7.17703349282297
"37","Scale 5",5,31,14.8325358851675
"38","Scale 5",6,32,15.311004784689
"39","Scale 5",7,35,16.7464114832536
"40","Scale 5",NA,72,34.4497607655502
